Metabolite,Vip_plsda,Vip_oplsda,P_value,fdr,FC,NOP_1_V,NOP_2_V,NOP_3_V,NOP_4_V,NOP_5_V,NOP_6_V,NOP_7_V,NOP_8_V,NOP_9_V,NOP_10_V,NOP_11_V,NOP_12_V,NOP_13_V,NOP_14_V,NOP_15_V,NOP_16_V,NOP_17_V,NOP_18_V,NOP_19_V,NOP_22_V,NOP_23_V,NOP_24_V,NOP_26_V,NOP_27_V,NOP_30_V,NOP_31_V,P_1_V,P_2_V,P_4_V,P_6_V,P_8_V,P_9_V,P_15_V,P_16_V,P_17_V,P_18_V,P_19_V,P_20_V,P_21_V,P_22_V,P_23_V,P_25_V,P_26_V,P_27_V,P_28_V,P_29_V,P_30_V,P_32_V,P_33_V,P_35_V,P_36_V,P_37_V,P_38_V,P_42_V,P_43_V,P_44_V,P_45_V,P_46_V
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.066952209,1.187149693,0.02056,0.1493,1.031402652,2.918942193,2.692446665,3.074126216,2.473357261,2.653502326,2.942974567,2.847381314,3.10839383,2.895608028,2.955580779,2.698515212,2.83011738,2.985108329,2.819696639,2.751777752,2.70521076,2.876848789,3.015447523,3.005907678,2.815235762,2.915146033,3.0286072,2.696621145,2.959598873,3.016103376,2.832270833,2.960419831,2.88521493,2.737705227,2.954113121,3.064468512,3.127235429,2.852681677,2.973729121,2.66298458,3.065173395,3.051208418,3.038316675,2.805198368,2.920989156,3.187923006,2.948204893,3.118103123,3.096588666,2.724621139,3.012064397,3.18061787,2.796909059,2.968404095,2.845272731,3.079090281,2.850191428,2.922854179,2.976161529,2.982417879,2.932034662,3.112673947,2.759840416
"PC(18:0/20:4(5Z,8Z,11Z,14Z))",0.910489046,0.950227879,0.02177,0.1543,1.016494269,3.531680173,3.462971843,3.722086352,3.383597284,3.476181018,3.536633917,3.447972467,3.782699263,3.654244706,3.508594702,3.499309357,3.53193052,3.657844821,3.575665813,3.636142434,3.418385527,3.644082761,3.660428866,3.606195419,3.516744882,3.562807764,3.587254636,3.616415946,3.601884884,3.770809887,3.611576208,3.726274946,3.504088935,3.523719156,3.462227033,3.710970636,3.628800485,3.587470733,3.536366685,3.574864669,3.501775301,3.739276747,3.643831809,3.574033858,3.652125147,3.573942754,3.667318658,3.671137355,3.747331658,3.539196417,3.592617686,3.760823585,3.575105548,3.646276451,3.584083547,3.714179045,3.636501084,3.636621233,3.811478986,3.75850739,3.774976978,3.674754467,3.625632641
PE(15:0/22:1(13Z)),1.306408905,1.427629433,0.001511,0.02399,1.026836158,3.327015975,3.347342918,3.620586052,3.348016847,3.490287638,3.250507499,3.462848728,3.757457427,3.763942517,3.551946264,3.414441256,3.575100091,3.694011065,3.58673654,3.592120886,3.555184391,3.599528749,3.613244279,3.570400981,3.551612573,3.545613866,3.561873636,3.639613086,3.476186821,3.652470483,3.500530268,3.802005491,3.530958039,3.537753174,3.5873301,3.628308188,3.657803343,3.549197767,3.539284613,3.5672392,3.498571588,3.711521728,3.821348718,3.739212653,3.684340105,3.600307595,3.589606055,3.640822767,3.53128093,3.583578232,3.714782503,3.730941627,3.569753441,3.644792042,3.625337128,3.724989365,3.692304487,3.6205286,3.785460212,3.608501456,3.742455888,3.581497804,3.490134644
"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",1.128158572,1.300894378,0.02405,0.1669,1.049579046,2.249937191,1.75427724,2.227985527,1.875763398,2.221095543,2.097695046,2.049727369,2.184563317,2.438208407,2.197585529,1.724927624,2.202546719,2.195926121,2.20125411,2.15862792,1.78176848,2.227320281,2.070767993,2.029555048,2.095359324,2.111339487,2.161370962,2.28129604,2.138238884,2.413235716,2.508385433,2.145142231,2.057746849,1.975776535,2.17325781,2.399216723,2.280483349,2.062107677,2.30418543,2.323329409,2.289415644,2.469822258,2.237648402,2.332056618,2.34652191,2.208502317,2.275103439,2.105294936,2.26970649,2.165367581,2.295963245,2.326140026,2.187186496,2.513726292,2.261476365,2.556844584,2.110570009,2.428111245,2.262687294,2.141236884,2.110161161,2.380815406,1.819377206
"PE(18:2(9Z,12Z)/20:0)",1.131746792,1.292669391,0.007667,0.07415,1.038412292,2.189214446,2.245713752,2.458729464,2.234052096,2.219010416,2.423042896,2.377238168,2.509886754,2.550351863,2.376994063,2.252675835,2.163766237,2.1720934,2.281273444,2.598434763,2.12882668,2.245128103,2.358827265,2.378950014,2.567016065,2.274524169,2.301693801,2.280063454,2.402219303,2.55207657,2.384401094,2.412943711,2.377799977,2.233897834,2.44775211,2.480058022,2.329849245,2.329651865,2.42027675,2.236086488,2.387403895,2.440274223,2.702679548,2.270148886,2.531784025,2.388204565,2.403965511,2.523909013,2.492145382,2.446105777,2.536347999,2.589943491,2.304686184,2.455366078,2.498977655,2.407588143,2.305579333,2.577710596,2.451257136,2.635473672,2.2949602,2.451234464,2.501301284
"PE(16:1(9Z)/22:2(13Z,16Z))",1.656590522,1.885874632,0.005512,0.05986,1.134328358,0.789796271,1.401347599,1.319506853,1.263703501,1.233533713,1.620945504,1.351495534,1.656083016,1.74588332,1.39721302,1.053595679,1.020783943,0.891136088,1.609798178,1.763147622,0.913117878,1.146836237,1.290909977,1.802882743,1.857768214,1.480051367,1.362416694,1.463421496,1.72183037,1.745600668,1.68423596,1.664168559,1.50562914,1.328734229,1.290872635,1.422432563,1.122454247,1.661844917,1.540599861,1.628437045,1.656315866,1.598748465,1.966799534,1.54226371,1.807705154,1.554549164,1.708904852,1.60951375,1.783399734,1.629002362,1.728497568,1.696017227,1.377712172,1.810084022,1.788881931,1.593207432,1.539984544,1.730883332,1.366913157,1.694808317,1.474924182,1.363010796,1.881925541
"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.07676854,1.09617101,0.01337,0.1101,1.019747235,3.731252019,3.721657416,3.961151403,3.54658395,3.570328144,3.828569575,3.67707432,4.010850504,3.794793538,3.794281794,3.743068963,3.76909964,3.955339583,3.693314683,3.775689486,3.759518331,3.822597385,3.984263614,3.981596976,3.756079128,3.804421319,3.851724376,3.660658223,3.874305645,3.925440287,3.749711459,3.99637742,3.890267964,3.741104934,3.82765929,3.912833896,3.932071975,3.803355984,3.858094168,3.599312471,3.93486332,3.936545256,3.999040953,3.73137183,3.875516376,3.914161085,3.823671394,3.951815078,4.02457279,3.656127818,3.914068817,3.928784343,3.779418031,3.881162888,3.856520222,3.900530216,3.781480333,3.787844221,4.030650571,3.99447308,3.927712988,3.896718514,3.838439257
2-hydroxyhexadecanoic acid,1.365761258,1.586177587,0.02911,0.1869,1.100899743,1.690571198,1.904929128,1.428495395,1.850316255,1.128131628,0.969435949,1.293149125,1.699919843,1.082163586,1.683591301,1.43548316,1.718625189,1.614975542,1.333815275,1.883668763,1.830494711,1.427298156,1.492224872,1.803002278,1.618673634,1.565622481,1.261708526,1.701811824,1.586911925,1.791498018,1.659925075,1.383626336,1.856840428,1.896545801,1.683277907,1.775800246,1.026582489,1.88324842,1.46046281,1.28217164,1.114090302,1.77941974,2.060552917,1.689289124,1.208460906,1.663374138,1.946620551,1.875662918,1.819656895,1.980371293,1.756012956,1.954878667,1.829396263,1.807143336,1.747201832,1.607098223,1.641814455,1.816975468,1.827170164,1.824505078,1.720655226,2.277213567,1.606686716
Dehydroepiandrosterone sulfate,1.562801997,1.686449168,0.0287,0.1855,1.146545708,1.15597812,1.530352154,1.516790011,1.902971361,2.047396787,1.042485477,1.691998692,1.199946726,1.443081654,1.012477076,1.358983538,1.642918527,1.525959102,0.927798608,1.122008659,1.605761347,1.232723151,1.4611148,1.634462152,2.109656093,1.524259581,1.365514615,1.241112636,1.646733652,1.035104161,1.282068581,1.932120272,1.868343834,1.374105194,0.379772756,2.032167231,1.455276766,1.750933475,2.016381361,1.697568712,1.393995521,1.3956002,1.335708842,1.842108941,1.76787116,1.565431161,1.60644223,1.980853084,1.942581023,1.800979913,1.952581511,1.389508345,2.303306232,1.395929909,1.862128068,1.671583561,1.785447079,1.449946148,2.087477834,1.578189546,1.739075586,1.550882842,0.660588864
"2-(2,6-dihydroxy-3,4-dimethoxycyclohexylidene)acetonitrile",1.526398181,1.662923963,0.005225,0.05871,0.907466496,1.733446852,1.617043755,1.710620731,1.710214418,1.662274792,1.546585761,1.298986189,1.523512837,1.94033666,1.70754015,1.521896941,1.534688299,1.528494993,1.664286707,1.791934263,1.83491105,1.833931379,1.286028679,1.277794042,1.306916296,1.576953788,1.75011143,1.212866886,1.240271331,1.569537532,1.372437428,1.551792824,1.276054367,1.261049936,1.132990628,1.522909964,1.43808627,1.43753245,1.652956934,1.371602554,1.007595289,1.408618992,1.530057179,1.374208184,1.482778931,1.339498342,1.614226147,1.097949025,1.281138517,1.354924915,1.571510441,1.554807914,1.678836458,1.625735898,1.460471224,1.227733832,1.118283749,1.627635209,1.575638374,1.552111439,1.453424801,1.432782476,1.500982643
Alpha-Teresantalic acid,1.063183031,1.165349793,0.04666,0.2494,0.955268817,2.45576903,2.216982088,2.525545069,2.602534242,2.610705889,2.575994757,2.378302586,2.442607074,2.210999535,2.262609771,2.280919667,2.062116707,2.536775757,2.20667213,2.345515042,2.355573091,2.200207413,2.030448745,2.590393385,2.128944651,1.885058945,2.106119842,2.276578306,2.270850001,2.494238181,2.39033924,1.89454933,2.192384748,2.188329212,2.199756295,2.21216208,2.395735624,2.318730394,2.507232081,2.273976201,2.037482344,2.215122056,2.281958613,2.274122814,2.316177425,2.321447734,2.165391154,2.356483593,2.583000546,2.156013098,1.976019365,2.021934744,2.392821715,2.29074157,2.412048838,2.137561212,1.833373044,2.202627422,1.709171659,2.101277633,2.363742375,2.285676316,2.459720233
