names,P_46,P_45,P_44,P_42,P_38,P_37,P_35,P_33,P_32,P_30,P_29,P_28,P_27,P_26,P_25,P_23,P_22,P_21,P_20,P_19,P_18,P_17,P_16,P_15,P_9,P_8,P_6,P_5,P_4,P_2,P_1,NOP_31,NOP_30,NOP_29,NOP_28,NOP_27,NOP_24,NOP_23,NOP_22,NOP_21,NOP_20,NOP_19,NOP_18,NOP_17,NOP_15,NOP_14,NOP_13,NOP_12,NOP_11,NOP_10,NOP_8,NOP_7,NOP_6,NOP_2,NOP_1
Actinomyces_sp_oral_taxon_181,0.00045,0.0069,0.00995,0.05267,0.00943,0.00078,0.00471,0.05641,0.01758,0,0.01957,0.04011,0.03447,0,0.00176,0.04293,0.00602,0,0.00561,0.0502,0.01151,0,0.0023,0,0.01334,0.04748,0.00778,0.03422,0.00891,0.00015,0,0.01094,0,0.00067,0.00065,0.00012,0.03545,0.00081,0,0,0,0,0,0,0.00116,0.0001,0.00216,0.00221,0,0.0092,0.0029,0,0.01811,0,0.00882
Actinomyces_sp_oral_taxon_414,0.00934,0,0,0.0015,0,0.00104,0.00015,0,0.00177,0,0,0,0,0,0,0,0.00235,0.01042,0.00298,0,0,0,0,0,0,0.01925,0,0,0,0,0,0,0,0,0,0,0.0025,0.00536,0.0083,0.00932,0,0,0.00289,0,0,0,0,0,0,0.00031,0,0,0,0,0
Actinomyces_sp_oral_taxon_448,0,0,0,0.02555,0,0,0,0,0.00309,0,0.00499,0,0,0,0,0,0,0,0.00016,0,0.00056,0,0,0,0,0,0,0.00178,0.00403,0,0.00045,0.0009,0,0.00243,0,0,0.00865,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0.00807,0.00547,0,0,0
Actinomyces_sp_oral_taxon_897,0,0,0,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_turicensis,0.00165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0
Alloscardovia_omnicolens,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_adolescentis,0,3.55983,0,4.34307,3.9521,0,2.47042,0,0.78518,0,0,0,0,0,0,0.7116,0.12918,9.7762,0,5.97049,7.24603,0,0.00917,0,5.99525,0,1.94614,0,0,2.85505,0,0,2.21071,0,0.13256,0,19.64799,0.1369,0.54456,0.59619,0,0,8.41669,0.8007,11.64706,0,3.46152,0,0.31947,0.28603,0,0,0,0,0
Bifidobacterium_animalis,0,1.98305,0,0,0,0.00642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60854,0,0.01905,0,0,0,0,0.09949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01566,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_bifidum,0,7.71269,0,0,0.23023,4.86106,6.6739,0.00113,0,0,0,0,0,0,0.21023,1.3551,0,0,0,0,0.6896,0,0,0,0,2.59635,0,0,0,0,0,2.06789,1.35417,0,0.01409,2.32587,5.6581,0,0.1863,0.21721,0,0,0,0.1812,0,0,0.76827,1.56949,0,0.05475,0,0,0,0.55449,0
Bifidobacterium_breve,0,0,0,0.04473,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2327,0,0,0.31607,0,0,0,0,0,0,0,0,0,0,0,0.04177,0,0,0,0,0,0,0,0,0,0,0,0,0.08166,0,0,0,0,0,0.64042,0,0,0
Bifidobacterium_dentium,0,0,0,0.01144,0,0,0,0.02936,0,0,0.00222,0,0,0,0,0.23222,0,0,0,0,0.02453,0,0,0,0.00136,0,0,0,0,0,0.00263,0,0,0,0,0,0.01,0,0.00031,0,0,0,0,0,0,0,0,0,0,0.00153,0.00104,0,0,0.02045,0.17861
